Ticker,Kurs,RSI,SMA20,SMA50,SMA200,1M %,3M %,6M %,1Y %,Volatilität,Ø Volumen,Vol Ratio,% vom Hoch,% vom Tief,Trend Score
MMM,150.32,51.7,146.18,155.88,157.34,0.8,-8.6,-0.8,12.6,27.7,3384410,0.54,-13.5,21.4,1
AOS,65.92,44.9,65.35,71.68,69.57,-1.0,-6.1,-4.5,4.3,25.3,1394130,1.19,-18.1,9.0,2
ABT,100.3,31.5,104.63,108.92,122.77,-7.2,-19.9,-24.0,-19.5,22.5,7628486,1.57,-26.3,0.0,0
ABBV,207.94,41.6,210.89,220.49,214.87,-7.7,-4.8,-8.5,22.8,25.5,6316198,0.73,-13.6,25.1,1
ACN,179.53,30.8,194.41,209.56,246.35,-7.6,-35.5,-28.2,-36.0,32.3,4703628,1.54,-43.7,0.0,0
ADBE,225.35,29.2,242.13,258.39,324.16,-16.5,-32.5,-35.1,-36.1,29.5,4416286,1.33,-46.4,0.0,0
AMD,245.04,70.1,210.44,209.35,199.41,23.9,20.6,5.2,162.4,58.3,47374071,0.77,-7.3,186.4,5
AES,14.39,49.1,14.19,14.97,13.71,1.2,1.7,1.2,47.7,47.5,12478652,0.49,-16.7,55.2,3
AFL,110.7,52.5,108.94,111.22,107.78,1.0,1.9,0.6,5.9,17.7,2318601,0.78,-5.3,14.7,3
A,115.06,48.1,113.13,119.66,129.21,3.3,-22.4,-17.5,12.9,28.7,1950941,0.53,-26.5,15.7,1
APD,298.71,67.6,288.58,281.97,270.2,3.5,14.0,15.3,14.0,25.2,1302277,0.66,0.0,31.2,5
ABNB,128.96,50.7,128.31,128.01,128.02,1.0,-7.4,7.3,12.6,30.0,4811487,0.74,-9.3,15.6,4
AKAM,91.35,31.9,111.62,104.74,87.05,-13.4,3.7,21.0,23.4,43.2,2957999,4.82,-23.3,29.5,3
ALB,173.64,51.0,171.8,170.8,119.94,6.2,7.9,80.9,211.8,58.3,3499139,0.35,-11.1,236.1,5
ARE,42.61,33.6,45.86,49.9,61.51,-13.9,-19.8,-41.0,-40.9,40.4,2193647,1.13,-49.0,0.0,0
ALGN,173.14,49.0,173.0,177.41,159.2,3.7,0.2,31.3,5.5,52.3,1293027,0.61,-16.4,38.6,3
ALLE,144.81,45.1,144.19,155.3,162.14,-0.3,-10.7,-17.2,16.6,25.3,891451,1.49,-19.1,18.4,1
LNT,73.1,61.0,71.63,70.5,66.21,2.1,13.3,10.4,24.5,15.9,2125016,0.96,-0.8,27.3,5
ALL,210.99,55.2,207.36,206.99,202.24,2.9,-0.1,1.9,11.7,23.4,1528198,0.67,-1.6,15.1,5
GOOGL,317.24,61.5,299.3,308.23,268.25,4.5,-3.4,31.5,102.6,28.7,36272079,0.53,-7.6,115.6,4
GOOG,315.72,62.1,297.81,307.75,268.65,4.1,-4.0,30.5,98.8,28.1,23584995,0.51,-8.4,111.4,4
MO,67.38,60.5,65.53,65.47,60.79,1.2,19.1,6.2,27.3,20.6,8992094,0.79,-1.7,28.0,5
AMZN,238.38,71.5,212.2,213.4,224.86,13.8,-3.6,4.7,28.9,31.5,45722517,1.24,-6.1,42.5,3
AMCR,41.16,49.4,39.94,43.91,42.9,2.1,-3.6,6.7,-9.3,29.6,5664331,0.57,-17.6,8.0,2
AEE,113.45,63.3,110.43,109.07,101.99,3.1,14.3,11.7,19.7,15.2,1658912,0.7,-0.8,23.8,5
